"strain"	"kingdom"	"class"	"order"	"family"	"genus"	"host"	"primers"	"NA"
"Chlamy40"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy6"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy7"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy8"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Bosea"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy13"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy19"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Cupriavidus"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy23"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Arthrobacter"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy24"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy26"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy28"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Acidovorax"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy44"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy49"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingopyxis"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy52"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Microbacteriaceae"	"Microbacterium"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy74"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy90"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy77"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Massilia"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy87"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Cupriavidus"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy25"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Cupriavidus"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy123"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy125"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy134"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Micrococcus"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy162"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Microbacteriaceae"	"Microbacterium"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy165"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy176"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Falsibacillus"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy149"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Massilia"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy40"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy107"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Chlamydomonas reinhardtii"	"v5-v7"
"Chlamy76"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Cupriavidus"	"Chlamydomonas reinhardtii"	"v5-v7"
