alsphere_ID,Kingdom,Phylum,Class,Order,Family,Genus,terpene,other,bacteriocin,siderophore,arylpolyene,nrps,hserlactone,phenazine,t3pks,arylpolyene-ladderane,phosphonate,t1pks-nrps,ladderane,microviridin,lantipeptide,arylpolyene-resorcinol,t1pks-otherks,arylpolyene-nrps,lassopeptide,resorcinol,acyl_amino_acids-siderophore,t1pks,thiopeptide,terpene-nrps,siderophore-nrps,ectoine,butyrolactone,otherks,lantipeptide-t1pks-nrps,sactipeptide-head_to_tail
Chlamy107,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,1,3,,1,2,,,,,,,,,,,,,,,,,,1,,,,,,
Chlamy123,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Chlamy125,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,1,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Chlamy13,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,1,1,,,1,3,,,,,,2,,,,1,,,,1,,,,,,,,,,
Chlamy134,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus,1,1,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,
Chlamy149,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,2,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Chlamy162,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Chlamy165,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,1,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Chlamy176,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,1,1,3,1,,5,,,,,,,,,1,,,,,,,,,,,,,,1,
Chlamy19,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,3,1,,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,
Chlamy23,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,1,1,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,
Chlamy24,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,,
Chlamy25,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,5,3,1,1,1,3,,,,,,,,,,,,1,,,,,,,,,,,,
Chlamy26,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Chlamy28,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,1,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
Chlamy40,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,6,1,,1,2,,,1,,1,1,,,,,,,1,,,,,,,,,,,,
Chlamy44,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Chlamy49,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,1,,2,,,1,,,1,,,,,,,,,,2,,,,,,,,,,,
Chlamy52,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Chlamy6,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,1,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,
Chlamy7,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Chlamy74,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,,,,,,,,,1,,,,,,,,,,2,1,,,,,,,,,,
Chlamy76,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,3,4,1,,1,2,,1,,,,,,,,,,,,,,,,,1,,,,,
Chlamy77,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,2,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Chlamy8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,2,1,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,
Chlamy87,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,7,3,1,2,2,,,1,,1,,,,,,,,1,,,,,,,,,,,,
Chlamy90,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,1,3,1,1,2,,,,,,,,,,,,,,,,,,1,,,,,,
