,kB680m,kB720m,kC680m,kC720m
A600,-1.3975202908551991,2.975766132030242,1.359733375044386,-1.4966656672259047
500,-1.6619574522339828,3.5380119182554615,2.2146904908727407,-2.452154376406955
510,-1.6256432306468105,3.4611468718539835,1.9275475374118873,-2.1316371248977375
520,-1.5932675778808658,3.392390270949387,1.65485101039026,-1.8282320794591191
530,-1.5621809961650628,3.326458472520815,1.5023019431698652,-1.658929731883394
540,-1.5299519031294253,3.258109428016824,1.4232534549566642,-1.5717107042704215
550,-1.5041301251402104,3.203265191073199,1.3836796606832888,-1.5283578292108335
560,-1.4726620441954545,3.13637557388393,1.3530366081167566,-1.4950632700898707
570,-1.4434493246367246,3.074387433867851,1.3620835717296702,-1.5061778478457726
580,-1.4185709329400524,3.0215754727038466,1.3877243973425684,-1.5354376814535078
590,-1.3881206103002242,2.9568009216066162,1.4124894163857,-1.5636631191275907
600,-1.3607279723791086,2.8986075246350262,1.4284742198126132,-1.581997957203048
610,-1.3340745664529332,2.842006211078537,1.4460397811824846,-1.6020290354190296
620,-1.3114205799100354,2.7938143860539033,1.4673695576853565,-1.6260646715574552
630,-1.2854468547785873,2.7386154806814154,1.4673554767954171,-1.6265672418974688
640,-1.2608946911886307,2.6864932479273356,1.5046620733882619,-1.6689087355014316
650,-1.2383502593334443,2.638586995919406,1.7183640108858098,-1.9066864116190192
660,-1.2130033522926216,2.584989227190473,1.847428026891073,-2.0498716316034447
670,-1.1903067084140317,2.536637020864427,2.1223528501474083,-2.3542634845608705
680,-1.1667539894821466,2.4866540918013063,2.2608711876014884,-2.506272351680587
690,-1.1450747077605596,2.4405484643254804,1.850660528930931,-2.0467576331870725
700,-1.12093569250393,2.3893737134925654,1.362275225661253,-1.504006205639772
710,-1.102075145187794,2.34920977864286,1.2035487955541913,-1.3283442032252744
720,-1.0828893908716466,2.308517245671356,1.136275696281862,-1.2546662550629637
730,-1.0605297385710057,2.260970866156412,1.0946081730651886,-1.2093945573092284
740,-1.0431938385132522,2.224188137221447,1.0723315197097942,-1.1852406528771735
750,-1.0236617557230623,2.182670742235487,1.0519202182593552,-1.1630687307018008
