Well	mode	wavelength	abs
A1	Absorbance	500	1.6335999965667725
A2	Absorbance	500	1.5460000038146973
A3	Absorbance	500	1.4573999643325806
A4	Absorbance	500	1.3746999502182007
A5	Absorbance	500	1.322100043296814
A6	Absorbance	500	1.2437000274658203
A7	Absorbance	500	1.1563999652862549
A8	Absorbance	500	1.0819000005722046
A9	Absorbance	500	0.9932000041007996
A10	Absorbance	500	0.9172999858856201
A11	Absorbance	500	0.8066999912261963
A12	Absorbance	500	0.6266000270843506
B1	Absorbance	500	1.6028000116348267
B2	Absorbance	500	1.517799973487854
B3	Absorbance	500	1.4296000003814697
B4	Absorbance	500	1.3532999753952026
B5	Absorbance	500	1.270300030708313
B6	Absorbance	500	1.1916999816894531
B7	Absorbance	500	1.1131000518798828
B8	Absorbance	500	1.0328999757766724
B9	Absorbance	500	0.920799970626831
B10	Absorbance	500	0.8288999795913696
B11	Absorbance	500	0.7294999957084656
B12	Absorbance	500	0.5260000228881836
C1	Absorbance	500	1.5394999980926514
C2	Absorbance	500	1.4769999980926514
C3	Absorbance	500	1.437399983406067
C4	Absorbance	500	1.3700000047683716
C5	Absorbance	500	1.2905999422073364
C6	Absorbance	500	1.2105000019073486
C7	Absorbance	500	1.117799997329712
C8	Absorbance	500	1.0500999689102173
C9	Absorbance	500	0.9416999816894531
C10	Absorbance	500	0.8547000288963318
C11	Absorbance	500	0.7426999807357788
C12	Absorbance	500	0.5289999842643738
D1	Absorbance	500	1.5405999422073364
D2	Absorbance	500	1.420199990272522
D3	Absorbance	500	1.3674999475479126
D4	Absorbance	500	1.3062000274658203
D5	Absorbance	500	1.2410000562667847
D6	Absorbance	500	1.1579999923706055
D7	Absorbance	500	1.0667999982833862
D8	Absorbance	500	0.9545000195503235
D9	Absorbance	500	0.8445000052452087
D10	Absorbance	500	0.7350000143051147
D11	Absorbance	500	0.6373000144958496
D12	Absorbance	500	0.4318999946117401
E1	Absorbance	500	1.4657000303268433
E2	Absorbance	500	1.374899983406067
E3	Absorbance	500	1.2955000400543213
E4	Absorbance	500	1.235200047492981
E5	Absorbance	500	1.1634000539779663
E6	Absorbance	500	1.077299952507019
E7	Absorbance	500	0.987500011920929
E8	Absorbance	500	0.8912000060081482
E9	Absorbance	500	0.7936999797821045
E10	Absorbance	500	0.7045000195503235
E11	Absorbance	500	0.6035000085830688
E12	Absorbance	500	0.39340001344680786
F1	Absorbance	500	1.4055999517440796
F2	Absorbance	500	1.3177000284194946
F3	Absorbance	500	1.2352999448776245
F4	Absorbance	500	1.1725000143051147
F5	Absorbance	500	1.0990999937057495
F6	Absorbance	500	1.0055999755859375
F7	Absorbance	500	0.9050999879837036
F8	Absorbance	500	0.8338000178337097
F9	Absorbance	500	0.7250000238418579
F10	Absorbance	500	0.6367999911308289
F11	Absorbance	500	0.5309000015258789
F12	Absorbance	500	0.3215999901294708
G1	Absorbance	500	1.3552000522613525
G2	Absorbance	500	1.2402000427246094
G3	Absorbance	500	1.167099952697754
G4	Absorbance	500	1.1061999797821045
G5	Absorbance	500	1.0328999757766724
G6	Absorbance	500	0.9426000118255615
G7	Absorbance	500	0.8467000126838684
G8	Absorbance	500	0.7578999996185303
G9	Absorbance	500	0.6484000086784363
G10	Absorbance	500	0.5580999851226807
G11	Absorbance	500	0.45190000534057617
G12	Absorbance	500	0.24609999358654022
H1	Absorbance	500	1.2371000051498413
H2	Absorbance	500	1.117900013923645
H3	Absorbance	500	1.0437999963760376
H4	Absorbance	500	1.002500057220459
H5	Absorbance	500	0.9115999937057495
H6	Absorbance	500	0.8109999895095825
H7	Absorbance	500	0.7217000126838684
H8	Absorbance	500	0.6129000186920166
H9	Absorbance	500	0.4855000078678131
H10	Absorbance	500	0.4034000039100647
H11	Absorbance	500	0.2978000044822693
H12	Absorbance	500	0.08789999783039093
A1	Absorbance	510.0	1.4560999870300293
A2	Absorbance	510.0	1.4074000120162964
A3	Absorbance	510.0	1.330899953842163
A4	Absorbance	510.0	1.26010000705719
A5	Absorbance	510.0	1.2020000219345093
A6	Absorbance	510.0	1.1361000537872314
A7	Absorbance	510.0	1.075600028038025
A8	Absorbance	510.0	1.0010000467300415
A9	Absorbance	510.0	0.9266999959945679
A10	Absorbance	510.0	0.8708999752998352
A11	Absorbance	510.0	0.7692000269889832
A12	Absorbance	510.0	0.6150000095367432
B1	Absorbance	510.0	1.4249999523162842
B2	Absorbance	510.0	1.354599952697754
B3	Absorbance	510.0	1.281000018119812
B4	Absorbance	510.0	1.2186000347137451
B5	Absorbance	510.0	1.149399995803833
B6	Absorbance	510.0	1.0852999687194824
B7	Absorbance	510.0	1.0196000337600708
B8	Absorbance	510.0	0.9538000226020813
B9	Absorbance	510.0	0.8575000166893005
B10	Absorbance	510.0	0.7775999903678894
B11	Absorbance	510.0	0.692300021648407
B12	Absorbance	510.0	0.5162000060081482
C1	Absorbance	510.0	1.3898999691009521
C2	Absorbance	510.0	1.316499948501587
C3	Absorbance	510.0	1.2871999740600586
C4	Absorbance	510.0	1.2317999601364136
C5	Absorbance	510.0	1.1832000017166138
C6	Absorbance	510.0	1.0997999906539917
C7	Absorbance	510.0	1.0245000123977661
C8	Absorbance	510.0	0.9690999984741211
C9	Absorbance	510.0	0.8759999871253967
C10	Absorbance	510.0	0.8014000058174133
C11	Absorbance	510.0	0.705299973487854
C12	Absorbance	510.0	0.5188000202178955
D1	Absorbance	510.0	1.3653000593185425
D2	Absorbance	510.0	1.2634999752044678
D3	Absorbance	510.0	1.2218999862670898
D4	Absorbance	510.0	1.1714999675750732
D5	Absorbance	510.0	1.1180000305175781
D6	Absorbance	510.0	1.0654000043869019
D7	Absorbance	510.0	0.9733999967575073
D8	Absorbance	510.0	0.8878999948501587
D9	Absorbance	510.0	0.7824000120162964
D10	Absorbance	510.0	0.6868000030517578
D11	Absorbance	510.0	0.6018999814987183
D12	Absorbance	510.0	0.42320001125335693
E1	Absorbance	510.0	1.2935999631881714
E2	Absorbance	510.0	1.2204999923706055
E3	Absorbance	510.0	1.1545000076293945
E4	Absorbance	510.0	1.103600025177002
E5	Absorbance	510.0	1.045199990272522
E6	Absorbance	510.0	0.9726999998092651
