,Measurement_type,Wavelength,Row,Column,Measurement,Well,Sample,True_abs_C,True_abs_B,Blank_for_measurement,Measurement-Blank
0,Absorbance,680_nm,A,1,0.8036999702453613,A1,S01,0.25,0.2,0.08269999921321869,0.7209999710321426
1,Absorbance,680_nm,B,1,0.8648999929428101,B1,S13,0.25,0.175,0.08269999921321869,0.7821999937295914
2,Absorbance,680_nm,C,1,0.7752000093460083,C1,S25,0.25,0.15,0.08269999921321869,0.6925000101327896
3,Absorbance,680_nm,D,1,0.7807999849319458,D1,S37,0.25,0.125,0.08269999921321869,0.6980999857187271
4,Absorbance,680_nm,E,1,0.7615000009536743,E1,S49,0.25,0.1,0.08269999921321869,0.6788000017404556
5,Absorbance,680_nm,F,1,0.7242000102996826,F1,S61,0.25,0.05,0.08269999921321869,0.6415000110864639
6,Absorbance,680_nm,G,1,0.7174999713897705,G1,S73,0.25,0.025,0.08269999921321869,0.6347999721765518
7,Absorbance,680_nm,H,1,0.7160999774932861,H1,S85,0.25,0.0,0.08269999921321869,0.6333999782800674
8,Absorbance,680_nm,A,2,0.7441999912261963,A2,S02,0.225,0.2,0.08269999921321869,0.6614999920129776
9,Absorbance,680_nm,B,2,0.722100019454956,B2,S14,0.225,0.175,0.08269999921321869,0.6394000202417374
10,Absorbance,680_nm,C,2,0.7192999720573425,C2,S26,0.225,0.15,0.08269999921321869,0.6365999728441238
11,Absorbance,680_nm,D,2,0.7044000029563904,D2,S38,0.225,0.125,0.08269999921321869,0.6217000037431717
12,Absorbance,680_nm,E,2,0.7077999711036682,E2,S50,0.225,0.1,0.08269999921321869,0.6250999718904495
13,Absorbance,680_nm,F,2,0.7390999794006348,F2,S62,0.225,0.05,0.08269999921321869,0.6563999801874161
14,Absorbance,680_nm,G,2,0.7458000183105469,G2,S74,0.225,0.025,0.08269999921321869,0.6631000190973282
15,Absorbance,680_nm,H,2,0.6812000274658203,H2,S86,0.225,0.0,0.08269999921321869,0.5985000282526016
16,Absorbance,680_nm,A,3,0.7045999765396118,A3,S03,0.2,0.2,0.08269999921321869,0.6218999773263931
17,Absorbance,680_nm,B,3,1.0532000064849854,B3,S15,0.2,0.175,0.08269999921321869,0.9705000072717667
18,Absorbance,680_nm,C,3,0.644599974155426,C3,S27,0.2,0.15,0.08269999921321869,0.5618999749422073
19,Absorbance,680_nm,D,3,0.6951000094413757,D3,S39,0.2,0.125,0.08269999921321869,0.612400010228157
20,Absorbance,680_nm,E,3,0.6628999710083008,E3,S51,0.2,0.1,0.08269999921321869,0.5801999717950821
21,Absorbance,680_nm,F,3,0.7157999873161316,F3,S63,0.2,0.05,0.08269999921321869,0.6330999881029129
22,Absorbance,680_nm,G,3,0.5921000242233276,G3,S75,0.2,0.025,0.08269999921321869,0.509400025010109
23,Absorbance,680_nm,H,3,0.5353000164031982,H3,S87,0.2,0.0,0.08269999921321869,0.45260001718997955
24,Absorbance,680_nm,A,4,0.6523000001907349,A4,S04,0.175,0.2,0.08269999921321869,0.5696000009775162
25,Absorbance,680_nm,B,4,0.6520000100135803,B4,S16,0.175,0.175,0.08269999921321869,0.5693000108003616
26,Absorbance,680_nm,C,4,0.621399998664856,C4,S28,0.175,0.15,0.08269999921321869,0.5386999994516373
27,Absorbance,680_nm,D,4,0.6455000042915344,D4,S40,0.175,0.125,0.08269999921321869,0.5628000050783157
28,Absorbance,680_nm,E,4,0.5490999817848206,E4,S52,0.175,0.1,0.08269999921321869,0.46639998257160187
29,Absorbance,680_nm,F,4,0.6166999936103821,F4,S64,0.175,0.05,0.08269999921321869,0.5339999943971634
