experiment,sampling_day,pbr_tube,Sample_concentration,cc_sampling_time,Filename,type_of_cell
1,29,1,25227503.63,3/26/2019 10:01,JF_PBR_xp1_d29_t1_01.#m4,b
1,29,1,20101.59652,3/26/2019 10:01,JF_PBR_xp1_d29_t1_01.#m4,c
1,29,1,3015239.478,3/26/2019 10:02,JF_PBR_xp1_d29_t1_02.#m4,b
1,29,1,20101.59652,3/26/2019 10:02,JF_PBR_xp1_d29_t1_02.#m4,c
1,29,1,1346806.967,3/26/2019 10:02,JF_PBR_xp1_d29_t1_03.#m4,b
1,29,1,10050.79826,3/26/2019 10:02,JF_PBR_xp1_d29_t1_03.#m4,c
1,29,1,72365747.47,3/26/2019 10:10,JF_PBR_xp1_d29_t1_04.#m4,b
1,29,1,80406.38608,3/26/2019 10:10,JF_PBR_xp1_d29_t1_04.#m4,c
1,29,1,15421944.85,3/26/2019 10:10,JF_PBR_xp1_d29_t1_05.#m4,b
1,29,1,136690.8563,3/26/2019 10:10,JF_PBR_xp1_d29_t1_05.#m4,c
1,29,1,7964252.541,3/26/2019 10:11,JF_PBR_xp1_d29_t1_06.#m4,b
1,29,1,128650.2177,3/26/2019 10:11,JF_PBR_xp1_d29_t1_06.#m4,c
1,29,2,10565399.13,3/26/2019 10:06,JF_PBR_xp1_d29_t2_01.#m4,b
1,29,2,0,3/26/2019 10:06,JF_PBR_xp1_d29_t2_01.#m4,c
1,29,2,10681988.39,3/26/2019 10:07,JF_PBR_xp1_d29_t2_02.#m4,b
1,29,2,0,3/26/2019 10:07,JF_PBR_xp1_d29_t2_02.#m4,c
1,29,2,10991552.98,3/26/2019 10:07,JF_PBR_xp1_d29_t2_03.#m4,b
1,29,2,0,3/26/2019 10:07,JF_PBR_xp1_d29_t2_03.#m4,c
1,29,3,110627126.3,3/26/2019 10:13,JF_PBR_xp1_d29_t3_01.#m4,b
1,29,3,1555863.571,3/26/2019 10:13,JF_PBR_xp1_d29_t3_01.#m4,c
1,29,3,115624383.2,3/26/2019 10:14,JF_PBR_xp1_d29_t3_02.#m4,b
1,29,3,1491538.462,3/26/2019 10:14,JF_PBR_xp1_d29_t3_02.#m4,c
1,29,3,112018156.8,3/26/2019 10:14,JF_PBR_xp1_d29_t3_03.#m4,b
1,29,3,1306603.774,3/26/2019 10:14,JF_PBR_xp1_d29_t3_03.#m4,c
1,29,4,19406081.28,3/26/2019 10:20,JF_PBR_xp1_d29_t4_01.#m4,b
1,29,4,120609.5791,3/26/2019 10:20,JF_PBR_xp1_d29_t4_01.#m4,c
1,29,4,8032597.969,3/26/2019 10:20,JF_PBR_xp1_d29_t4_02.#m4,b
1,29,4,104528.3019,3/26/2019 10:20,JF_PBR_xp1_d29_t4_02.#m4,c
1,29,4,5511857.766,3/26/2019 10:21,JF_PBR_xp1_d29_t4_03.#m4,b
1,29,4,32162.55443,3/26/2019 10:21,JF_PBR_xp1_d29_t4_03.#m4,c
1,29,5,26200420.9,3/26/2019 10:24,JF_PBR_xp1_d29_t5_01.#m4,b
1,29,5,56284.47026,3/26/2019 10:24,JF_PBR_xp1_d29_t5_01.#m4,c
1,29,5,7204412.193,3/26/2019 10:24,JF_PBR_xp1_d29_t5_02.#m4,b
1,29,5,52264.15095,3/26/2019 10:24,JF_PBR_xp1_d29_t5_02.#m4,c
1,29,5,7550159.653,3/26/2019 10:25,JF_PBR_xp1_d29_t5_03.#m4,b
1,29,5,52264.15095,3/26/2019 10:25,JF_PBR_xp1_d29_t5_03.#m4,c
1,29,6,12028795.36,3/26/2019 10:27,JF_PBR_xp1_d29_t6_01.#m4,b
1,29,6,8040.638608,3/26/2019 10:27,JF_PBR_xp1_d29_t6_01.#m4,c
1,29,6,1181973.875,3/26/2019 10:28,JF_PBR_xp1_d29_t6_02.#m4,b
1,29,6,8040.638608,3/26/2019 10:28,JF_PBR_xp1_d29_t6_02.#m4,c
1,29,6,2146850.508,3/26/2019 10:28,JF_PBR_xp1_d29_t6_03.#m4,b
1,29,6,32162.55443,3/26/2019 10:28,JF_PBR_xp1_d29_t6_03.#m4,c
1,29,6,2661451.379,3/26/2019 10:29,JF_PBR_xp1_d29_t6_04.#m4,b
1,29,6,52264.15095,3/26/2019 10:29,JF_PBR_xp1_d29_t6_04.#m4,c
1,29,6,3409230.77,3/26/2019 10:29,JF_PBR_xp1_d29_t6_05.#m4,b
1,29,6,80406.38608,3/26/2019 10:29,JF_PBR_xp1_d29_t6_05.#m4,c
1,29,6,3525820.03,3/26/2019 10:30,JF_PBR_xp1_d29_t6_06.#m4,b
1,29,6,52264.15095,3/26/2019 10:30,JF_PBR_xp1_d29_t6_06.#m4,c
1,29,7,28106052.25,3/26/2019 10:33,JF_PBR_xp1_d29_t7_01.#m4,b
1,29,7,691494.9203,3/26/2019 10:33,JF_PBR_xp1_d29_t7_01.#m4,c
1,29,7,12105181.42,3/26/2019 10:33,JF_PBR_xp1_d29_t7_02.#m4,b
1,29,7,466357.0393,3/26/2019 10:33,JF_PBR_xp1_d29_t7_02.#m4,c
1,29,7,8052699.566,3/26/2019 10:34,JF_PBR_xp1_d29_t7_03.#m4,b
1,29,7,305544.2671,3/26/2019 10:34,JF_PBR_xp1_d29_t7_03.#m4,c
1,29,8,58298650.23,3/26/2019 10:36,JF_PBR_xp1_d29_t8_01.#m4,b
1,29,8,205036.2845,3/26/2019 10:36,JF_PBR_xp1_d29_t8_01.#m4,c
1,29,8,62511944.86,3/26/2019 10:37,JF_PBR_xp1_d29_t8_02.#m4,b
1,29,8,285442.6706,3/26/2019 10:37,JF_PBR_xp1_d29_t8_02.#m4,c
1,29,8,67368490.58,3/26/2019 10:37,JF_PBR_xp1_d29_t8_03.#m4,b
1,29,8,261320.7548,3/26/2019 10:37,JF_PBR_xp1_d29_t8_03.#m4,c
1,42,1,41071582.01,4/8/2019 14:58,JF_PBR_xp1_d42_t1_01.#m4,b
1,42,1,16081.27722,4/8/2019 14:58,JF_PBR_xp1_d42_t1_01.#m4,c
1,42,1,9093962.266,4/8/2019 14:58,JF_PBR_xp1_d42_t1_02.#m4,b
1,42,1,24121.91582,4/8/2019 14:58,JF_PBR_xp1_d42_t1_02.#m4,c
1,42,2,5909869.377,4/8/2019 17:33,JF_PBR_xp1_d42_t2_01.#m4,b
1,42,2,4020.319304,4/8/2019 17:33,JF_PBR_xp1_d42_t2_01.#m4,c
1,42,2,7019477.505,4/8/2019 17:34,JF_PBR_xp1_d42_t2_02.#m4,b
1,42,2,4020.319304,4/8/2019 17:34,JF_PBR_xp1_d42_t2_02.#m4,c
1,42,3,67167474.61,4/8/2019 17:38,JF_PBR_xp1_d42_t3_01.#m4,b
1,42,3,607068.2149,4/8/2019 17:38,JF_PBR_xp1_d42_t3_01.#m4,c
1,42,3,67947416.56,4/8/2019 17:38,JF_PBR_xp1_d42_t3_02.#m4,b
1,42,3,832206.0959,4/8/2019 17:38,JF_PBR_xp1_d42_t3_02.#m4,c
1,42,4,6987314.95,4/8/2019 17:40,JF_PBR_xp1_d42_t4_01.#m4,b
1,42,4,8040.638608,4/8/2019 17:40,JF_PBR_xp1_d42_t4_01.#m4,c
1,42,4,5704833.092,4/8/2019 17:41,JF_PBR_xp1_d42_t4_02.#m4,b
1,42,4,40203.19304,4/8/2019 17:41,JF_PBR_xp1_d42_t4_02.#m4,c
1,42,5,2605166.909,4/8/2019 17:43,JF_PBR_xp1_d42_t5_01.#m4,b
1,42,5,0,4/8/2019 17:43,JF_PBR_xp1_d42_t5_01.#m4,c
1,42,5,31792685.06,4/8/2019 17:43,JF_PBR_xp1_d42_t5_02.#m4,b
1,42,5,64325.10886,4/8/2019 17:43,JF_PBR_xp1_d42_t5_02.#m4,c
1,42,6,29661915.82,4/8/2019 17:45,JF_PBR_xp1_d42_t6_01.#m4,b
1,42,6,100507.9826,4/8/2019 17:45,JF_PBR_xp1_d42_t6_01.#m4,c
1,42,6,29653875.19,4/8/2019 17:45,JF_PBR_xp1_d42_t6_02.#m4,b
1,42,6,84426.70538,4/8/2019 17:45,JF_PBR_xp1_d42_t6_02.#m4,c
1,42,7,28612612.49,4/8/2019 17:47,JF_PBR_xp1_d42_t7_01.#m4,b
1,42,7,44223.51234,4/8/2019 17:47,JF_PBR_xp1_d42_t7_01.#m4,c
1,42,7,28367373.01,4/8/2019 17:48,JF_PBR_xp1_d42_t7_02.#m4,b
1,42,7,52264.15095,4/8/2019 17:48,JF_PBR_xp1_d42_t7_02.#m4,c
1,42,8,26654716.99,4/8/2019 17:49,JF_PBR_xp1_d42_t8_01.#m4,b
1,42,8,0,4/8/2019 17:49,JF_PBR_xp1_d42_t8_01.#m4,c
1,42,8,26063730.05,4/8/2019 17:50,JF_PBR_xp1_d42_t8_02.#m4,b
1,42,8,0,4/8/2019 17:50,JF_PBR_xp1_d42_t8_02.#m4,c
1,49,1,3247010886,4/15/2019 10:30,JF_PBR_xp1_d49_t1_01.#m4,b
1,49,1,1005079.826,4/15/2019 10:30,JF_PBR_xp1_d49_t1_01.#m4,c
1,49,1,878439767.9,4/15/2019 10:31,JF_PBR_xp1_d49_t1_02.#m4,b
1,49,1,603047.8956,4/15/2019 10:31,JF_PBR_xp1_d49_t1_02.#m4,c
1,49,1,851101596.7,4/15/2019 10:31,JF_PBR_xp1_d49_t1_03.#m4,b
1,49,1,1005079.826,4/15/2019 10:31,JF_PBR_xp1_d49_t1_03.#m4,c
1,49,2,1374949202,4/15/2019 10:34,JF_PBR_xp1_d49_t2_01.#m4,b
1,49,2,603047.8956,4/15/2019 10:34,JF_PBR_xp1_d49_t2_01.#m4,c
1,49,2,253280116.2,4/15/2019 10:35,JF_PBR_xp1_d49_t2_02.#m4,b
1,49,2,0,4/15/2019 10:35,JF_PBR_xp1_d49_t2_02.#m4,c
1,49,2,172672714.1,4/15/2019 10:35,JF_PBR_xp1_d49_t2_03.#m4,b
1,49,2,402031.9304,4/15/2019 10:35,JF_PBR_xp1_d49_t2_03.#m4,c
1,49,3,2708690131,4/15/2019 10:41,JF_PBR_xp1_d49_t3_01.#m4,b
1,49,3,12462989.84,4/15/2019 10:41,JF_PBR_xp1_d49_t3_01.#m4,c
1,49,3,1950658926,4/15/2019 10:41,JF_PBR_xp1_d49_t3_02.#m4,b
1,49,3,10251814.23,4/15/2019 10:41,JF_PBR_xp1_d49_t3_02.#m4,c
1,49,3,5654378085,4/15/2019 10:42,JF_PBR_xp1_d49_t3_03.#m4,b
1,49,3,29348330.92,4/15/2019 10:42,JF_PBR_xp1_d49_t3_03.#m4,c
1,49,4,277804063.9,4/15/2019 10:43,JF_PBR_xp1_d49_t4_01.#m4,b
1,49,4,1206095.791,4/15/2019 10:43,JF_PBR_xp1_d49_t4_01.#m4,c
1,49,4,126439042.1,4/15/2019 10:44,JF_PBR_xp1_d49_t4_02.#m4,b
1,49,4,1407111.756,4/15/2019 10:44,JF_PBR_xp1_d49_t4_02.#m4,c
1,49,4,113976052.3,4/15/2019 10:44,JF_PBR_xp1_d49_t4_03.#m4,b
1,49,4,201015.9652,4/15/2019 10:44,JF_PBR_xp1_d49_t4_03.#m4,c
1,49,5,2933626996,4/15/2019 10:46,JF_PBR_xp1_d49_t5_01.#m4,b
1,49,5,5025399.13,4/15/2019 10:46,JF_PBR_xp1_d49_t5_01.#m4,c
1,49,5,980756894.2,4/15/2019 10:47,JF_PBR_xp1_d49_t5_02.#m4,b
1,49,5,2412191.582,4/15/2019 10:47,JF_PBR_xp1_d49_t5_02.#m4,c
1,49,5,692701016.1,4/15/2019 10:47,JF_PBR_xp1_d49_t5_03.#m4,b
1,49,5,1407111.756,4/15/2019 10:47,JF_PBR_xp1_d49_t5_03.#m4,c
