NAME	ICL-Chlamy PBR exp2
GROUP_TYPE	[unknown]
GROUP_NAME	MC272-group
GROUP_ID	group-109
START	Apr 17, 2019 9:15:43 PM
PLANNED_DURATION	60d 00:00:00
PLANNED_DURATION_SEC	5184000
DURATION	14d 16:43:23
DURATION_SEC	1269803
INOCULUM	85 mL each vessel (4.7x10^5 Chlamy/mL)
MEDIUM	TP NH4-NO3
ORGANISM	1-5 (ICL+Chlamy); 6-8 (Chlamy)
GASSING	
TERMINATION	stopped
TIME_FORMAT	HOURS
TIME_FROM_SEC	0
TIME_TO_SEC	1269803
NOTES	The OD was calibrated at the beggining of the experiment with the cultivation vessels inserted into the PBR.

0 OD = 4.7x10^5 Chlamy/mL

time	od-sensors-1.od-680	od-sensors-1.od-720	od-sensors-2.od-680	od-sensors-2.od-720	od-sensors-3.od-680	od-sensors-3.od-720	od-sensors-4.od-680	od-sensors-4.od-720	od-sensors-5.od-680	od-sensors-5.od-720	od-sensors-6.od-680	od-sensors-6.od-720	od-sensors-7.od-680	od-sensors-7.od-720	od-sensors-8.od-680	od-sensors-8.od-720	pumps-1002.pump-0-consumption	pumps-1002.pump-1-consumption	pumps-1002.pump-2-consumption	pumps-1002.pump-3-consumption	pumps-1002.pump-4-consumption	pumps-1002.pump-5-consumption	pumps-1002.pump-6-consumption	pumps-1002.pump-7-consumption
0																	0	0.0417	0	0	0	0	0	0
0.083333	0.00086	-0.00101	0.03738	0.03179	0.00583	0.00437	0.00981	0.0088	0.02466	0.0187	0.00058	0	0.00815	0.0057	-0.02721	-0.02084								
0.166667	0.01927	0.00741	0.03817	0.0332	0.00818	0.0035	0.011	0.0057	0.02451	0.02083	0.00015	0.00305	0.0231	0.02007	-0.01544	-0.0104								
0.25	0.00245	0.00087	0.04088	0.03493	0.00627	0.00481	0.01263	0.00673	0.02619	0.01931	0.00263	0.00102	0.00903	0.00467	-0.02515	-0.02015								
0.333333	0.00245	0.0013	0.04104	0.03446	0.00774	0.00335	0.01502	0.01133	0.02788	0.01855	0.00219	0.00131	0.00903	0.00409	-0.01248	-0.0185								
0.416667	0.00332	0.00217	0.04008	0.03211	0.00863	0.00555	0.01698	0.01043	0.02881	0.0219	0.00395	0.00218	0.01095	0.00585	-0.01851	-0.02166								
0.5	0.0026	0.00101	0.04265	0.03383	0.00745	0.00467	0.01338	0.00865	0.02758	0.01962	0.00424	0.00174	0.01066	0.00394	-0.02707	-0.02084								
0.583333	0.00419	0.00029	0.042	0.03493	0.00907	0.00423	0.01398	0.00969	0.0302	0.02022	0.00321	0.00073	0.0108	0.00394	-0.02694	-0.02166								
0.666667	0.00477	0.00087	0.04426	0.03651	0.01025	0.00599	0.01622	0.01028	0.0302	0.01946	0.0038	0.00087	0.01273	0.00556	-0.02502	-0.02235								
0.75	0.0229	0.02096	0.04297	0.0354	0.0107	0.00643	0.01189	0.0057	0.03129	0.02099	0.0038	0.00203	0.02692	0.0216	-0.01487	-0.00942								
