NAME	PBR ICL exp3
GROUP_TYPE	[unknown]
GROUP_NAME	MC272-group
GROUP_ID	group-110
START	May 11, 2019 6:20:50 PM
PLANNED_DURATION	375d 00:00:00
PLANNED_DURATION_SEC	32400000
DURATION	15d 15:50:19
DURATION_SEC	1353019
INOCULUM	
MEDIUM	
ORGANISM	
GASSING	
TERMINATION	stopped
TIME_FORMAT	HOURS
TIME_FROM_SEC	0
TIME_TO_SEC	1353019
NOTES	

time	od-sensors-1.od-680	od-sensors-1.od-720	od-sensors-2.od-680	od-sensors-2.od-720	od-sensors-3.od-680	od-sensors-3.od-720	od-sensors-4.od-680	od-sensors-4.od-720	od-sensors-5.od-680	od-sensors-5.od-720	od-sensors-6.od-680	od-sensors-6.od-720	od-sensors-7.od-680	od-sensors-7.od-720	od-sensors-8.od-680	od-sensors-8.od-720	pumps-1002.pump-0-consumption	pumps-1002.pump-1-consumption	pumps-1002.pump-2-consumption	pumps-1002.pump-3-consumption	pumps-1002.pump-4-consumption	pumps-1002.pump-5-consumption	pumps-1002.pump-6-consumption	pumps-1002.pump-7-consumption
0																	0	0	0	0	0	0	0	0
0.002778																			0					
0.004167																			0.042					
0.005556																					0			
0.006944																					0.042	0		
0.008333																						0.042		
0.019444																			0.042					
0.020833																			0.083					
0.022222																					0.042			
0.023611																					0.083	0.042		
0.025																						0.083		
0.036111																			0.083					
0.0375																			0.125					
0.038889																					0.083			
0.040278																					0.125	0.083		
0.041667																						0.125		
0.055556																					0.125			
0.056944																					0.167	0.125		
0.058333																						0.167		
0.072222																					0.167			
0.073611																					0.208	0.167		
0.075																						0.208		
0.083333	0.14409	0.07458	0.14256	0.07721	0.1356	0.08221	0.14039	0.09499	0.12078	0.05824	0.13239	0.08058	0.16186	0.09181	0.12586	0.075								
0.088889																					0.208			
0.090278																					0.25	0.208		
0.091667																						0.25		
0.106944																						0.25		
0.108333																						0.292		
0.166667	0.14489	0.07338	0.15005	0.0849	0.1356	0.08186	0.14402	0.09862	0.12537	0.06258	0.13967	0.08762	0.16481	0.09416	0.13233	0.08051								
0.25	0.14308	0.07235	0.15354	0.08667	0.1362	0.08432	0.14564	0.09862	0.12826	0.06427	0.14386	0.09136	0.16439	0.09361	0.13451	0.08172								
0.333333	0.14348	0.07287	0.15231	0.08543	0.13819	0.08414	0.14645	0.10246	0.12633	0.06208	0.14386	0.09082	0.16375	0.09452	0.13591	0.08137								
0.416667	0.14109	0.07048	0.15623	0.08702	0.13859	0.08344	0.14767	0.10008	0.11964	0.05493	0.14446	0.09065	0.16608	0.09488	0.1379	0.08259								
0.5	0.14348	0.07133	0.15292	0.08561	0.1366	0.08467	0.14523	0.10063	0.12962	0.06342	0.14607	0.09298	0.16207	0.09379	0.09687	0.0522								
0.583333	0.14549	0.07167	0.15457	0.08561	0.1362	0.08326	0.14442	0.09935	0.12768	0.06225	0.14607	0.09244	0.16502	0.09325	0.09596	0.0488								
0.666667	0.1459	0.07116	0.15457	0.08455	0.1358	0.08186	0.14442	0.09862	0.12768	0.06309	0.14647	0.0928	0.16144	0.09127	0.09542	0.04993								
0.75	0.14489	0.07116	0.15581	0.08702	0.13799	0.08414	0.14462	0.09735	0.1273	0.06275	0.14768	0.0946	0.16693	0.09271	0.09289	0.04848								
0.833333	0.14288	0.06963	0.15478	0.08472	0.1366	0.08221	0.14584	0.09807	0.1273	0.06258	0.14627	0.09136	0.16587	0.09253	0.09651	0.04945								
0.916667	0.14509	0.07218	0.1554	0.08543	0.13739	0.08256	0.14543	0.09716	0.12885	0.06292	0.14506	0.08886	0.16545	0.09145	0.09469	0.04848								
1	0.14148	0.0698	0.1554	0.08227	0.1364	0.08256	0.14971	0.09971	0.12633	0.06091	0.14587	0.09136	0.16439	0.09092	0.0956	0.04896								
1.083333	0.14188	0.06777	0.1554	0.08437	0.1396	0.08362	0.14584	0.09771	0.13079	0.06309	0.14607	0.09047	0.16375	0.09038	0.09633	0.04896								
