experiment	sampling_day	pbr_tube	Sample_concentration	cc_sampling_time	Filename	type_of_cell
1	29	1	25227503.632600002	2019-03-26 10:01:41	JF_PBR_xp1_d29_t1_01.#m4	b
1	29	1	20101.59652	2019-03-26 10:01:41	JF_PBR_xp1_d29_t1_01.#m4	c
1	29	1	3015239.478	2019-03-26 10:02:11	JF_PBR_xp1_d29_t1_02.#m4	b
1	29	1	20101.59652	2019-03-26 10:02:11	JF_PBR_xp1_d29_t1_02.#m4	c
1	29	1	1346806.96684	2019-03-26 10:02:40	JF_PBR_xp1_d29_t1_03.#m4	b
1	29	1	10050.79826	2019-03-26 10:02:40	JF_PBR_xp1_d29_t1_03.#m4	c
1	29	1	72365747.472	2019-03-26 10:10:13	JF_PBR_xp1_d29_t1_04.#m4	b
1	29	1	80406.38608	2019-03-26 10:10:13	JF_PBR_xp1_d29_t1_04.#m4	c
1	29	1	15421944.850143999	2019-03-26 10:10:42	JF_PBR_xp1_d29_t1_05.#m4	b
1	29	1	136690.856336	2019-03-26 10:10:42	JF_PBR_xp1_d29_t1_05.#m4	c
1	29	1	7964252.541224	2019-03-26 10:11:12	JF_PBR_xp1_d29_t1_06.#m4	b
1	29	1	128650.217728	2019-03-26 10:11:12	JF_PBR_xp1_d29_t1_06.#m4	c
1	29	2	10565399.130912	2019-03-26 10:06:47	JF_PBR_xp1_d29_t2_01.#m4	b
1	29	2	0.0	2019-03-26 10:06:47	JF_PBR_xp1_d29_t2_01.#m4	c
1	29	2	10681988.390727999	2019-03-26 10:07:16	JF_PBR_xp1_d29_t2_02.#m4	b
1	29	2	0.0	2019-03-26 10:07:16	JF_PBR_xp1_d29_t2_02.#m4	c
1	29	2	10991552.977136001	2019-03-26 10:07:45	JF_PBR_xp1_d29_t2_03.#m4	b
1	29	2	0.0	2019-03-26 10:07:45	JF_PBR_xp1_d29_t2_03.#m4	c
1	29	3	110627126.288168	2019-03-26 10:13:42	JF_PBR_xp1_d29_t3_01.#m4	b
1	29	3	1555863.570648	2019-03-26 10:13:42	JF_PBR_xp1_d29_t3_01.#m4	c
1	29	3	115624383.18304	2019-03-26 10:14:11	JF_PBR_xp1_d29_t3_02.#m4	b
1	29	3	1491538.461784	2019-03-26 10:14:11	JF_PBR_xp1_d29_t3_02.#m4	c
1	29	3	112018156.76735201	2019-03-26 10:14:40	JF_PBR_xp1_d29_t3_03.#m4	b
1	29	3	1306603.7738	2019-03-26 10:14:40	JF_PBR_xp1_d29_t3_03.#m4	c
1	29	4	19406081.280408	2019-03-26 10:20:27	JF_PBR_xp1_d29_t4_01.#m4	b
1	29	4	120609.57912000001	2019-03-26 10:20:27	JF_PBR_xp1_d29_t4_01.#m4	c
1	29	4	8032597.969392	2019-03-26 10:20:56	JF_PBR_xp1_d29_t4_02.#m4	b
1	29	4	104528.30190399999	2019-03-26 10:20:56	JF_PBR_xp1_d29_t4_02.#m4	c
1	29	4	5511857.765784	2019-03-26 10:21:25	JF_PBR_xp1_d29_t4_03.#m4	b
1	29	4	32162.554432	2019-03-26 10:21:25	JF_PBR_xp1_d29_t4_03.#m4	c
1	29	5	26200420.904167995	2019-03-26 10:24:05	JF_PBR_xp1_d29_t5_01.#m4	b
1	29	5	56284.47025599999	2019-03-26 10:24:05	JF_PBR_xp1_d29_t5_01.#m4	c
1	29	5	7204412.192767999	2019-03-26 10:24:34	JF_PBR_xp1_d29_t5_02.#m4	b
1	29	5	52264.150951999996	2019-03-26 10:24:34	JF_PBR_xp1_d29_t5_02.#m4	c
1	29	5	7550159.652911999	2019-03-26 10:25:04	JF_PBR_xp1_d29_t5_03.#m4	b
