NAME	PBR_ICL_exp4
GROUP_TYPE	[unknown]
GROUP_NAME	MC272-group
GROUP_ID	group-091
START	Jul 1, 2019 9:22:36 PM
PLANNED_DURATION	1250d 00:00:00
PLANNED_DURATION_SEC	108000000
DURATION	8d 14:54:32
DURATION_SEC	744872
INOCULUM	
MEDIUM	
ORGANISM	
GASSING	
TERMINATION	stopped
TIME_FORMAT	HOURS
TIME_FROM_SEC	0
TIME_TO_SEC	744872
NOTES	

time	od-sensors-1.od-680	od-sensors-1.od-720	od-sensors-2.od-680	od-sensors-2.od-720	od-sensors-3.od-680	od-sensors-3.od-720	od-sensors-4.od-680	od-sensors-4.od-720	od-sensors-5.od-680	od-sensors-5.od-720	od-sensors-6.od-680	od-sensors-6.od-720	od-sensors-7.od-680	od-sensors-7.od-720	od-sensors-8.od-680	od-sensors-8.od-720	pumps-1002.pump-0-consumption	pumps-1002.pump-1-consumption	pumps-1002.pump-2-consumption	pumps-1002.pump-3-consumption	pumps-1002.pump-4-consumption	pumps-1002.pump-5-consumption	pumps-1002.pump-6-consumption	pumps-1002.pump-7-consumption
0																	190.917	409.083	1071	500.292	960.667	14075	1079	1135
0.001389																		409.083						
0.002778																		409.5						
0.083333	0.06084	0.03256	0.06428	0.03265	0.06914	0.04347	0.06044	0.04234	0.06767	0.03243	0.05844	0.03803	0.05531	0.02995	0.08644	0.05545								
0.166667	0.06217	0.03116	0.06361	0.03203	0.06726	0.04171	0.05778	0.03963	0.06632	0.03149	0.05713	0.03645	0.05828	0.02824	0.0836	0.0548								
0.25	0.06151	0.03241	0.06411	0.03438	0.06897	0.04283	0.05762	0.03915	0.068	0.03196	0.05795	0.03882	0.05696	0.02731	0.08573	0.05496								
0.333333	0.06068	0.03101	0.0621	0.03125	0.06658	0.04139	0.05745	0.0401	0.06666	0.03149	0.05631	0.03503	0.0563	0.02793	0.08697	0.05529								
0.416667	0.06084	0.03225	0.06144	0.03063	0.06743	0.04331	0.05778	0.03883	0.06482	0.03134	0.05598	0.03487	0.05762	0.02917	0.08537	0.05431								
0.5	0.06234	0.03225	0.0611	0.03047	0.06897	0.04363	0.06044	0.0425	0.06699	0.03212	0.05631	0.03613	0.05614	0.02747	0.08715	0.05611								
0.583333	0.06034	0.0307	0.06194	0.03203	0.06828	0.04379	0.05895	0.04074	0.06548	0.03196	0.055	0.03456	0.05647	0.02902	0.08431	0.0535								
0.666667	0.06217	0.03163	0.06294	0.03172	0.06862	0.04251	0.06011	0.04154	0.06767	0.03196	0.06109	0.03534	0.05564	0.02731	0.08697	0.05562								
0.75	0.06018	0.03194	0.06411	0.0325	0.06999	0.04379	0.05795	0.03931	0.06649	0.03196	0.05598	0.03629	0.05679	0.02747	0.08608	0.05366								
0.833333	0.06267	0.03194	0.06144	0.03032	0.06982	0.04347	0.05928	0.04154	0.06699	0.03134	0.05565	0.0344	0.05696	0.0284	0.08644	0.05447								
0.916667	0.05902	0.03085	0.06495	0.035	0.06897	0.04315	0.06011	0.04138	0.06784	0.03134	0.05664	0.0355	0.05812	0.02762	0.08768	0.05611								
1	0.06234	0.03163	0.06327	0.03125	0.06948	0.04379	0.05928	0.0409	0.06868	0.03149	0.05598	0.03471	0.05663	0.02778	0.08679	0.05431								
1.083333	0.06001	0.03178	0.0606	0.03406	0.0705	0.04363	0.06094	0.04074	0.06919	0.03196	0.05812	0.03566	0.05779	0.02902	0.08626	0.05415								
