Sampling_date	Sampling_time	Sampling_datetime	Day	Media	Condition	replicate	Measurement_type	Wavelength	Row	Column	Measurement	Filename	t (h)	Content	Measurement_blank_average	Measurement_fixed
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	A	1	0.31139999628067017	day1_b+c_5.xlsx	22.0	ICL_162	0.12025357170828752	0.19114642457238265
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	B	1	0.10760000348091125	day1_b+c_5.xlsx	22.0	ICL_115	0.12025357170828752	-0.01265356822737626
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	C	1	0.10499999672174454	day1_b+c_5.xlsx	22.0	ICL_144	0.12025357170828752	-0.015253574986542978
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	D	1	0.34060001373291016	day1_b+c_5.xlsx	22.0	ICL_186A	0.12025357170828752	0.22034644202462264
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	E	1	0.37070000171661377	day1_b+c_5.xlsx	22.0	ICL_162	0.12025357170828752	0.2504464300083262
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	F	1	0.12610000371932983	day1_b+c_5.xlsx	22.0	ICL_115	0.12025357170828752	0.0058464320110423185
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	G	1	0.1307000070810318	day1_b+c_5.xlsx	22.0	ICL_144	0.12025357170828752	0.010446435372744284
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	H	1	0.37450000643730164	day1_b+c_5.xlsx	22.0	ICL_186A	0.12025357170828752	0.2542464347290141
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	A	2	0.2874000072479248	day1_b+c_5.xlsx	22.0	ICL_202A	0.12025357170828752	0.1671464355396373
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	B	2	0.11890000104904175	day1_b+c_5.xlsx	22.0	ICL_199	0.12025357170828752	-0.0013535706592457675
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	C	2	0.14480000734329224	day1_b+c_5.xlsx	22.0	ICL_41	0.12025357170828752	0.02454643563500472
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	D	2	0.13349999487400055	day1_b+c_5.xlsx	22.0	ICL_186B	0.12025357170828752	0.013246423165713034
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	E	2	0.30160000920295715	day1_b+c_5.xlsx	22.0	ICL_202A	0.12025357170828752	0.18134643749466964
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	F	2	0.1298999935388565	day1_b+c_5.xlsx	22.0	ICL_199	0.12025357170828752	0.00964642183056899
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	G	2	0.1809999942779541	day1_b+c_5.xlsx	22.0	ICL_41	0.12025357170828752	0.060746422569666586
