Sampling_date	Sampling_time	Sampling_datetime	Day	Media	Condition	replicate	chlamy_bact_ratio	Measurement_type	Wavelength	Row	Column	Measurement	Filename	t (h)	Well	Sample	alsphere_ID	Kingdom	Phylum	Class	Order	Family	Genus	Measurement_blank_average	Measurement_fixed
18.04.2019	15:37:05	2019-04-18 15:37:05	day-2	tp	b+sup	rep-1	high	Absorbance	680_nm	A	1	0.11180000007152557	day-2_b+sup_high_rep-1.xlsx	44.0	A1	ICL_186B								0.11213333408037822	-0.0003333340088526454
18.04.2019	15:37:05	2019-04-18 15:37:05	day-2	tp	b+sup	rep-1	high	Absorbance	680_nm	B	1	0.1137000024318695	day-2_b+sup_high_rep-1.xlsx	44.0	B1	ICL_129B								0.11213333408037822	0.0015666683514912877
18.04.2019	15:37:05	2019-04-18 15:37:05	day-2	tp	b+sup	rep-1	high	Absorbance	680_nm	C	1	0.10899999737739563	day-2_b+sup_high_rep-1.xlsx	44.0	C1	ICL_100	Chlamy6	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	0.11213333408037822	-0.0031333367029825893
18.04.2019	15:37:05	2019-04-18 15:37:05	day-2	tp	b+sup	rep-1	high	Absorbance	680_nm	D	1	0.10559999942779541	day-2_b+sup_high_rep-1.xlsx	44.0	D1	ICL_101	Chlamy7	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	0.11213333408037822	-0.006533334652582809
18.04.2019	15:37:05	2019-04-18 15:37:05	day-2	tp	b+sup	rep-1	high	Absorbance	680_nm	E	1	0.10209999978542328	day-2_b+sup_high_rep-1.xlsx	44.0	E1	ICL_103	Chlamy8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	0.11213333408037822	-0.01003333429495494
18.04.2019	15:37:05	2019-04-18 15:37:05	day-2	tp	b+sup	rep-1	high	Absorbance	680_nm	F	1	0.12449999898672104	day-2_b+sup_high_rep-1.xlsx	44.0	F1	ICL_108	Chlamy13	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	0.11213333408037822	0.01236666490634282
18.04.2019	15:37:05	2019-04-18 15:37:05	day-2	tp	b+sup	rep-1	high	Absorbance	680_nm	G	1	0.11460000276565552	day-2_b+sup_high_rep-1.xlsx	44.0	G1	ICL_112	Chlamy19	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	0.11213333408037822	0.0024666686852772984
18.04.2019	15:37:05	2019-04-18 15:37:05	day-2	tp	b+sup	rep-1	high	Absorbance	680_nm	H	1	0.12489999830722809	day-2_b+sup_high_rep-1.xlsx	44.0	H1	ICL_114B	Chlamy23	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	0.11213333408037822	0.01276666422684987
18.04.2019	15:37:05	2019-04-18 15:37:05	day-2	tp	b+sup	rep-1	high	Absorbance	680_nm	A	2	0.11309999972581863	day-2_b+sup_high_rep-1.xlsx	44.0	A2	ICL_115	Chlamy24	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	0.11213333408037822	0.0009666656454404149
18.04.2019	15:37:05	2019-04-18 15:37:05	day-2	tp	b+sup	rep-1	high	Absorbance	680_nm	B	2	0.10930000245571136	day-2_b+sup_high_rep-1.xlsx	44.0	B2	ICL_117	Chlamy26	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	0.11213333408037822	-0.0028333316246668544
