Row	Column	Column_merged	Row_merged	ICLID	Repetition	Condition	Timepoint	Abs680	Abs750	average_blank_per_plate_abs680	average_blank_per_plate_abs750	Abs680_fixed	Abs750_fixed
A	1	1	A	ICL_186B	Rep1	B_suplow	0	0.106799997	0.109899998	0.106099999	0.111033333	0.000699998	-0.001133335
A	2	2	A	ICL_115	Rep1	B_suplow	0	0.104000002	0.108599998	0.106099999	0.111033333	-0.002099997	-0.002433335
A	3	3	A	ICL_163	Rep1	B_suplow	0	0.105300002	0.108900003	0.106099999	0.111033333	-0.000799997	-0.00213333
A	4	4	A	ICL_60	Rep1	B_suplow	0	0.107299998	0.1105	0.106099999	0.111033333	0.001199999	-0.000533332
A	5	1	A	ICL_186B	Rep2	B_suplow	0	0.108800001	0.112099998	0.106099999	0.111033333	0.002700002	0.001066665
A	6	2	A	ICL_115	Rep2	B_suplow	0	0.106399998	0.110100001	0.106099999	0.111033333	0.000299999	-0.000933332
A	7	3	A	ICL_163	Rep2	B_suplow	0	0.107699998	0.112499997	0.106099999	0.111033333	0.001599999	0.001466664
A	8	4	A	ICL_60	Rep2	B_suplow	0	0.109200001	0.113399997	0.106099999	0.111033333	0.003100002	0.002366665
A	9	1	A	ICL_186B	Rep3	B_suplow	0	0.111299999	0.115699999	0.106099999	0.111033333	0.0052	0.004666666
A	10	2	A	ICL_115	Rep3	B_suplow	0	0.103699997	0.107100002	0.106099999	0.111033333	-0.002400002	-0.00393333
A	11	3	A	ICL_163	Rep3	B_suplow	0	0.109999999	0.114699997	0.106099999	0.111033333	0.0039	0.003666664
A	12	4	A	ICL_60	Rep3	B_suplow	0	0.103	0.108199999	0.106099999	0.111033333	-0.003099999	-0.002833334
B	1	1	B	ICL_129B	Rep1	B_suplow	0	0.102399997	0.105499998	0.106099999	0.111033333	-0.003700002	-0.005533335
B	2	2	B	ICL_117	Rep1	B_suplow	0	0.104099996	0.107799999	0.106099999	0.111033333	-0.002000003	-0.003233333
B	3	3	B	ICL_170	Rep1	B_suplow	0	0.097800002	0.103299998	0.106099999	0.111033333	-0.008299998	-0.007733335
