,well,content,t(h),A750c,F680c
0,A1,ICL_162,0,0.003238097,22.16666667
1,A10,ICL_118B,0,0.004588095,23.66666667
2,A11,ICL_100,0,0.000171429,22.33333333
3,A12,ICL_108,0,0.005521428,23.83333333
4,A2,ICL_202A,0,0.003654762,24.33333333
5,A3,ICL_202B,0,0.002471429,24.5
6,A4,ICL_202C,0,0.003038096,23.33333333
7,A5,ICL_131,0,0.003571428,22.33333333
8,A6,ICL_116,0,0.005138095,23.5
9,A7,ICL_112,0,0.003521427,22
10,A8,ICL_163,0,0.000738097,25
11,A9,ICL_24,0,-0.000595238,22.66666667
12,B1,ICL_115,0,0.003088095,21
13,B10,ICL_20BA,0,0.004504762,22.83333333
14,B11,ICL_20BB,0,0.004754763,27.33333333
15,B12,ICL_60,0,0.000488095,24.66666667
16,B2,ICL_199,0,0.004588096,26.33333333
17,B3,ICL_101,0,-0.000295238,23.33333333
18,B4,ICL_139A,0,-0.000295237,26
19,B5,ICL_103,0,0.006538098,24
20,B6,ICL_160,0,-0.00022857,24
21,B7,ICL_129A,0,0.003204762,28
22,B8,ICL_129B,0,-0.000145238,25.5
23,B9,ICL_133,0,0.004204761,26.16666667
24,C1,ICL_144,0,0.001371429,23.83333333
25,C10,ICL_184BA,0,0.001854761,24.83333333
26,C11,ICL_184BB,0,0.00587143,26.5
27,C12,ICL_193,0,0.004088095,23.5
28,C2,ICL_41,0,0.00662143,24
29,C3,ICL_114B,0,0.003904762,23.66666667
30,C4,ICL_208B,0,0.005671429,24.16666667
31,C5,ICL_117,0,0.001871429,25
32,C6,ICL_132,0,0.003821429,23.83333333
33,C7,ICL_48,0,0.006288097,25.66666667
34,C8,ICL_201,0,0.000504762,26.66666667
35,C9,ICL_172,0,0.004188095,25.33333333
36,D1,ICL_186A,0,0.003388095,23.16666667
37,D10,Chlamy,0,-0.000645238,27.5
38,D11,Chlamy,0,0.003054761,25.33333333
39,D12,Chlamy,0,0.00380476,24.66666667
40,D2,ICL_186B,0,0.005154762,25.33333333
41,D3,ICL_170,0,0.00537143,23.83333333
42,D4,ICL_179A,0,0.003888095,28.83333333
43,D5,ICL_179B,0,0.002804763,26.83333333
44,D6,Chlamy,0,0.002154762,27.83333333
45,D7,Chlamy,0,0.001371428,25
46,D8,Chlamy,0,-4.52E-05,26.66666667
47,D9,Chlamy,0,0.001238096,27.5
48,E1,ICL_162,0,0.00382143,24.16666667
49,E10,ICL_118B,0,-0.000661904,25.33333333
50,E11,ICL_100,0,0.005171428,26
51,E12,ICL_108,0,0.00527143,24.66666667
52,E2,ICL_202A,0,0.003188096,23.83333333
