,well,content,t(h),A750c
0,A1,ICL_162,0,0.001921431
1,A10,ICL_118B,0,-0.000878571
2,A11,ICL_100,0,0.00052143
3,A12,ICL_108,0,-0.00252857
4,A2,ICL_202A,0,0.004371432
5,A3,ICL_202B,0,-0.000478572
6,A4,ICL_202C,0,-7.86E-05
7,A5,ICL_131,0,-0.00037857
8,A6,ICL_116,0,0.001671427
9,A7,ICL_112,0,0.002071426
10,A8,ICL_163,0,0.000521426
11,A9,ICL_24,0,-0.000128574
12,B1,ICL_115,0,-0.003178573
13,B10,ICL_20BA,0,-0.000478572
14,B11,ICL_20BB,0,0.000421432
15,B12,ICL_60,0,0.003871427
16,B2,ICL_199,0,0.00297143
17,B3,ICL_101,0,0.00032143
18,B4,ICL_139A,0,0.004621429
19,B5,ICL_103,0,-0.001978568
20,B6,ICL_160,0,0.001971428
21,B7,ICL_129A,0,0.002221429
22,B8,ICL_129B,0,-0.003778572
23,B9,ICL_133,0,0.001021431
24,C1,ICL_144,0,0.000921429
25,C10,ICL_184BA,0,0.002421429
26,C11,ICL_184BB,0,-0.000178571
27,C12,ICL_193,0,0.004321427
28,C2,ICL_41,0,0.001971428
29,C3,ICL_114B,0,0.002771431
30,C4,ICL_208B,0,0.000821428
31,C5,ICL_117,0,-0.001528571
32,C6,ICL_132,0,-0.000828571
33,C7,ICL_48,0,0.000621428
34,C8,ICL_201,0,-0.00077857
35,C9,ICL_172,0,-0.001078571
36,D1,ICL_186A,0,0.000421432
37,D10,BLANK,0,0.001321429
38,D11,BLANK,0,-0.001928571
39,D12,BLANK,0,-0.005228571
40,D2,ICL_186B,0,0.003321429
41,D3,ICL_170,0,-0.004078573
42,D4,ICL_179A,0,0.000571427
43,D5,ICL_179B,0,-0.000228572
44,D6,BLANK,0,0.001221431
45,D7,BLANK,0,7.14E-05
46,D8,BLANK,0,0.00097143
47,D9,BLANK,0,7.14E-05
48,E1,ICL_162,0,0.000571431
49,E10,ICL_118B,0,-0.000178571
50,E11,ICL_100,0,-0.000128574
51,E12,ICL_108,0,0.00227143
52,E2,ICL_202A,0,0.002471429
53,E3,ICL_202B,0,-0.001378569
54,E4,ICL_202C,0,0.001371429
55,E5,ICL_131,0,0.000621432
56,E6,ICL_116,0,-0.001128572
57,E7,ICL_112,0,0.001421427
58,E8,ICL_163,0,0.004571431
59,E9,ICL_24,0,0.001871427
60,F1,ICL_115,0,-0.00077857
61,F10,ICL_20BA,0,0.007071433
62,F11,ICL_20BB,0,0.001271431
63,F12,ICL_60,0,0.002871429
64,F2,ICL_199,0,-0.003378573
65,F3,ICL_101,0,-7.86E-05
66,F4,ICL_139A,0,-0.003478574
67,F5,ICL_103,0,0.000871428
68,F6,ICL_160,0,-0.00167857
69,F7,ICL_129A,0,0.004771431
70,F8,ICL_129B,0,0.001321429
71,F9,ICL_133,0,0.004971427
72,G1,ICL_144,0,0.004121428
73,G10,ICL_184BA,0,0.00447143
74,G11,ICL_184BB,0,-0.002378571
75,G12,ICL_193,0,-0.000928569
76,G2,ICL_41,0,0.002671429
77,G3,ICL_114B,0,0.001221427
78,G4,ICL_208B,0,0.000371427
79,G5,ICL_117,0,0.003471431
80,G6,ICL_132,0,0.001921428
81,G7,ICL_48,0,0.005971429
82,G8,ICL_201,0,0.005521429
83,G9,ICL_172,0,0.001021431
84,H1,ICL_186A,0,0.003021428
85,H10,BLANK,0,0.003871427
86,H11,BLANK,0,-2.86E-05
87,H12,BLANK,0,-0.001728571
88,H2,ICL_186B,0,0.001921428
89,H3,ICL_170,0,0.004421433
90,H4,ICL_179A,0,0.003271428
91,H5,ICL_179B,0,0.007421428
92,H6,BLANK,0,-0.004078573
93,H7,BLANK,0,0.000321427
94,H8,BLANK,0,0.004771427
95,H9,BLANK,0,0.000371427
96,A1,ICL_162,21,0.096146433
97,A10,ICL_118B,21,-0.006553569
98,A11,ICL_100,21,-0.007103575
99,A12,ICL_108,21,-0.008553573
100,A2,ICL_202A,21,0.107296428
