,well,content,t(h),A750c,F680c
0,A1,ICL_162,0,0.005721429,25
1,A10,ICL_118B,0,0.005646427,19
2,A11,ICL_100,0,0.002046428,18.25
3,A12,ICL_108,0,0.005871429,19.5
4,A2,ICL_202A,0,0.002221431,22.5
5,A3,ICL_202B,0,0.000296428,22.25
6,A4,ICL_202C,0,0.000396428,21.5
7,A5,ICL_131,0,0.00327143,23.25
8,A6,ICL_116,0,0.00307143,21.25
9,A7,ICL_112,0,0.005896428,20.5
10,A8,ICL_163,0,0.001471429,23
11,A9,ICL_24,0,0.005646429,23
12,B1,ICL_115,0,0.008171431,20
13,B10,ICL_20BA,0,0.003846428,23.5
14,B11,ICL_20BB,0,0.00159643,23
15,B12,ICL_60,0,0.00197143,23.75
16,B2,ICL_199,0,0.00369643,27.5
17,B3,ICL_101,0,0.004296429,27.25
18,B4,ICL_139A,0,0.00702143,21.75
19,B5,ICL_103,0,0.00602143,23
20,B6,ICL_160,0,0.002271428,23.75
21,B7,ICL_129A,0,0.004421429,24.25
22,B8,ICL_129B,0,0.003446427,22.75
23,B9,ICL_133,0,0.002321431,22.5
24,C1,ICL_144,0,0.004171428,23.75
25,C10,ICL_184BA,0,0.00214643,22
26,C11,ICL_184BB,0,0.003871429,23.5
27,C12,ICL_193,0,0.005396429,21.75
28,C2,ICL_41,0,0.001246429,26.25
29,C3,ICL_114B,0,0.002871431,20.25
30,C4,ICL_208B,0,0.004746429,21.25
31,C5,ICL_117,0,0.00417143,24.5
32,C6,ICL_132,0,0.007146432,24
33,C7,ICL_48,0,0.004271428,24.5
34,C8,ICL_201,0,0.003671429,21.5
35,C9,ICL_172,0,0.00534643,20.75
36,D1,ICL_186A,0,0.008146429,23.5
37,D10,Chlamy,0,0.001296428,23.75
38,D11,Chlamy,0,0.00347143,24.75
39,D12,Chlamy,0,0.002671429,24.75
40,D2,ICL_186B,0,0.00612143,21.75
41,D3,ICL_170,0,0.002096431,22.5
42,D4,ICL_179A,0,0.004821428,22.5
43,D5,ICL_179B,0,0.00119643,24.5
44,D6,Chlamy,0,0.002221429,24.5
45,D7,Chlamy,0,0.005921428,23.5
46,D8,Chlamy,0,0.00274643,24.75
47,D9,Chlamy,0,0.00537143,25
48,E1,ICL_162,0,0.002771427,22
49,E10,ICL_118B,0,0.004621429,21.25
50,E11,ICL_100,0,0.004371426,21.5
51,E12,ICL_108,0,0.003671427,20
52,E2,ICL_202A,0,0.000246429,24.75
53,E3,ICL_202B,0,0.00417143,24.25
54,E4,ICL_202C,0,0.00107143,23.5
55,E5,ICL_131,0,0.004996431,23.5
56,E6,ICL_116,0,0.003146432,21
