alsphere_ID,terpene,other,bacteriocin,siderophore,arylpolyene,nrps,hserlactone,phenazine,t3pks,phosphonate,arylpolyene-ladderane,t1pks-nrps,ladderane,lantipeptide,microviridin,arylpolyene-resorcinol,t1pks-otherks,arylpolyene-nrps,lassopeptide,resorcinol,acyl_amino_acids-siderophore,t1pks,thiopeptide,terpene-nrps,siderophore-nrps,ectoine,butyrolactone,otherks,sactipeptide-head_to_tail,lantipeptide-t1pks-nrps
Chlamy10,4.0,2.0,4.0,1.0,1.0,9.0,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,
Chlamy15,6.0,2.0,1.0,3.0,4.0,7.0,,1.0,,1.0,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,,,1.0,,
Chlamy186,3.0,1.0,1.0,1.0,,7.0,,,1.0,,,,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,
Chlamy203,4.0,1.0,1.0,1.0,,7.0,1.0,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
Chlamy197,4.0,1.0,1.0,1.0,,7.0,1.0,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
Chlamy163,4.0,2.0,3.0,1.0,1.0,7.0,2.0,,1.0,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy204,4.0,1.0,1.0,1.0,,7.0,1.0,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
Chlamy22,5.0,1.0,2.0,2.0,,11.0,,,1.0,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,
Chlamy83,3.0,2.0,5.0,2.0,1.0,10.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,
Chlamy106,3.0,2.0,4.0,1.0,1.0,9.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,
Chlamy121,6.0,4.0,3.0,2.0,1.0,8.0,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
Chlamy184,6.0,1.0,2.0,1.0,2.0,7.0,2.0,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,
Chlamy61,7.0,3.0,2.0,4.0,1.0,10.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy185,5.0,1.0,2.0,1.0,,7.0,2.0,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy14,3.0,1.0,2.0,1.0,,9.0,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy85,4.0,2.0,,1.0,2.0,3.0,,1.0,,1.0,1.0,2.0,,,,1.0,,,,1.0,,,,,,,,,,
Chlamy168,5.0,1.0,2.0,1.0,,7.0,2.0,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy158,4.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,
Chlamy60,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy191,4.0,1.0,,1.0,2.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,
Chlamy116,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy148,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy118,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
